ETER_ID,institution_name,English Institution Name,reference_year,country_code,latitude,longitude,total_current_expenditure_PPP,basic_government_allocation_PPP,private_third_party_funding_PPP,total_current_revenues_PPP,total_academic_staff_FTE,total_students_enrolled_ISCED_5-7,total_students_enrolled_ISCED_8,ReD_expenditure_PPP,erasmus_incoming_students_ISCED_5,erasmus_incoming_students_ISCED_6,erasmus_incoming_students_ISCED_7,erasmus_incoming_students_ISCED_8,erasmus_incoming_staff,TOTAL_ISCED8 ,staff_to_student_ratio,doctorate_to_stundents_ratio,doctorate_to_accademic_staff,research_income,proportion_of_international_students,proportion_international_staff
FR0001,Université Nice - Sophia-Antipolis,University of Nice Sophia Antipolis,2017,FR,"43,71688128","7,267293985",m,m,m,m,m,26602,m,m,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FR0002,Université de technologie de Troyes,University of Technology of Troyes,2017,FR,"48,269146","4,066716",m,m,m,m,m,2915,m,m,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FR0003,École de l'air,,2017,FR,"43,624831","5,111683",m,m,m,m,m,m,a,a,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FR0004,École nationale supérieure d'architecture de Marseille,,2017,FR,"43,229591","5,434393",m,m,m,m,m,m,x,m,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FR0005,École supérieure d'art et de design Marseille-Mediterranée,,2017,FR,"43,228555","5,43565",m,m,m,m,m,m,x,m,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FR0006,École centrale de Marseille,,2017,FR,"43,342462","5,43711",m,m,m,m,m,1040,m,m,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FR0007,Aix-Marseille université,Aix-Marseille University,2017,FR,"43,29364446","5,358708294",m,m,m,m,m,58721,m,m,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FR0008,Université de Caen Basse-Normandie,University of Caen Lower Normandy,2017,FR,"49,17526932","-0,3418634975",m,m,m,m,m,25770,m,m,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FR0009,École supérieure d'arts et médias de Caen - Cherbourg,,2017,FR,"49,180832","-0,346372",m,m,m,m,m,m,x,m,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FR0010,École nationale supérieure d'ingénieurs de Caen,,2017,FR,"49,214788","-0,367219",m,m,m,m,m,705,a,m,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
FR0011,École supérieure d'ingénieurs des travaux de la construction de Caen,,2017,FR,"49,216273","-0,366575",m,m,m,m,m,m,a,a,m,m,m,m,m,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
