,group,variable,value
0,ETER_ID_year,Zero Values,0.0
1,ETER_ID_year,Missing Values,0.0
2,ETER_ID_year,% of Total Values,0.0
3,ETER_ID_year,Total Zero Missing Values,0.0
4,ETER_ID_year,% Total Zero Missing Values,0.0
5,ETER_ID_year,c_val,0.0
6,ETER_ID_year,s_val,0.0
7,ETER_ID_year,nc_val,0.0
8,ETER_ID_year,out_val,0.0
9,ETER_ID,Zero Values,0.0
10,ETER_ID,Missing Values,0.0
11,ETER_ID,% of Total Values,0.0
12,ETER_ID,Total Zero Missing Values,0.0
13,ETER_ID,% Total Zero Missing Values,0.0
14,ETER_ID,c_val,0.0
15,ETER_ID,s_val,0.0
16,ETER_ID,nc_val,0.0
17,ETER_ID,out_val,0.0
18,institution_name,Zero Values,0.0
19,institution_name,Missing Values,0.0
20,institution_name,% of Total Values,0.0
21,institution_name,Total Zero Missing Values,0.0
22,institution_name,% Total Zero Missing Values,0.0
23,institution_name,c_val,0.0
24,institution_name,s_val,0.0
25,institution_name,nc_val,0.0
26,institution_name,out_val,0.0
27,english_institution_name,Zero Values,0.0
28,english_institution_name,Missing Values,1912.0
29,english_institution_name,% of Total Values,10.831633809200088
30,english_institution_name,Total Zero Missing Values,1912.0
31,english_institution_name,% Total Zero Missing Values,10.831633809200088
32,english_institution_name,c_val,0.0
33,english_institution_name,s_val,0.0
34,english_institution_name,nc_val,0.0
35,english_institution_name,out_val,0.0
36,reference_year,Zero Values,0.0
37,reference_year,Missing Values,0.0
38,reference_year,% of Total Values,0.0
39,reference_year,Total Zero Missing Values,0.0
40,reference_year,% Total Zero Missing Values,0.0
41,reference_year,c_val,0.0
42,reference_year,s_val,0.0
43,reference_year,nc_val,0.0
44,reference_year,out_val,0.0
45,country_code,Zero Values,0.0
46,country_code,Missing Values,0.0
47,country_code,% of Total Values,0.0
48,country_code,Total Zero Missing Values,0.0
49,country_code,% Total Zero Missing Values,0.0
50,country_code,c_val,0.0
51,country_code,s_val,0.0
52,country_code,nc_val,0.0
53,country_code,out_val,0.0
54,name_of_the_city,Zero Values,0.0
55,name_of_the_city,Missing Values,29.0
56,name_of_the_city,% of Total Values,0.1642873328801269
57,name_of_the_city,Total Zero Missing Values,29.0
58,name_of_the_city,% Total Zero Missing Values,0.1642873328801269
59,name_of_the_city,c_val,0.0
60,name_of_the_city,s_val,0.0
61,name_of_the_city,nc_val,0.0
62,name_of_the_city,out_val,0.0
63,latitude,Zero Values,0.0
64,latitude,Missing Values,29.0
65,latitude,% of Total Values,0.1642873328801269
66,latitude,Total Zero Missing Values,29.0
67,latitude,% Total Zero Missing Values,0.1642873328801269
68,latitude,c_val,0.0
69,latitude,s_val,0.0
70,latitude,nc_val,0.0
71,latitude,out_val,0.0
72,longitude,Zero Values,0.0
73,longitude,Missing Values,29.0
74,longitude,% of Total Values,0.1642873328801269
75,longitude,Total Zero Missing Values,29.0
76,longitude,% Total Zero Missing Values,0.1642873328801269
77,longitude,c_val,0.0
78,longitude,s_val,0.0
79,longitude,nc_val,0.0
80,longitude,out_val,0.0
81,P_E,Zero Values,0.0
82,P_E,Missing Values,9785.0
83,P_E,% of Total Values,55.432812145932466
84,P_E,Total Zero Missing Values,9785.0
85,P_E,% Total Zero Missing Values,55.432812145932466
86,P_E,c_val,215.0
87,P_E,s_val,0.0
88,P_E,nc_val,0.0
89,P_E,out_val,0.0
90,N-P_E,Zero Values,4.0
91,N-P_E,Missing Values,9785.0
92,N-P_E,% of Total Values,55.432812145932466
93,N-P_E,Total Zero Missing Values,9789.0
94,N-P_E,% Total Zero Missing Values,55.455472467709036
95,N-P_E,c_val,215.0
96,N-P_E,s_val,0.0
97,N-P_E,nc_val,0.0
98,N-P_E,out_val,0.0
99,EXP_UN,Zero Values,5306.0
100,EXP_UN,Missing Values,9755.0
101,EXP_UN,% of Total Values,55.26285973260821
102,EXP_UN,Total Zero Missing Values,15061.0
103,EXP_UN,% Total Zero Missing Values,85.32177656922728
104,EXP_UN,c_val,215.0
105,EXP_UN,s_val,0.0
106,EXP_UN,nc_val,0.0
107,EXP_UN,out_val,0.0
108,TOT_C_E,Zero Values,0.0
109,TOT_C_E,Missing Values,9782.0
110,TOT_C_E,% of Total Values,55.415816904600035
111,TOT_C_E,Total Zero Missing Values,9782.0
112,TOT_C_E,% Total Zero Missing Values,55.415816904600035
113,TOT_C_E,c_val,215.0
114,TOT_C_E,s_val,0.0
115,TOT_C_E,nc_val,0.0
116,TOT_C_E,out_val,0.0
117,CAP_E,Zero Values,203.0
118,CAP_E,Missing Values,10496.0
119,CAP_E,% of Total Values,59.460684341717645
120,CAP_E,Total Zero Missing Values,10699.0
121,CAP_E,% Total Zero Missing Values,60.61069567187854
122,CAP_E,c_val,215.0
123,CAP_E,s_val,0.0
124,CAP_E,nc_val,0.0
125,CAP_E,out_val,0.0
126,TOT_C_B,Zero Values,681.0
127,TOT_C_B,Missing Values,9793.0
128,TOT_C_B,% of Total Values,55.478132789485606
129,TOT_C_B,Total Zero Missing Values,10474.0
130,TOT_C_B,% Total Zero Missing Values,59.33605257194654
131,TOT_C_B,c_val,215.0
132,TOT_C_B,s_val,0.0
133,TOT_C_B,nc_val,0.0
134,TOT_C_B,out_val,0.0
135,TOT_T_P_F,Zero Values,653.0
136,TOT_T_P_F,Missing Values,10009.0
137,TOT_T_P_F,% of Total Values,56.70179016542035
138,TOT_T_P_F,Total Zero Missing Values,10662.0
139,TOT_T_P_F,% Total Zero Missing Values,60.40108769544528
140,TOT_T_P_F,c_val,215.0
141,TOT_T_P_F,s_val,0.0
142,TOT_T_P_F,nc_val,0.0
143,TOT_T_P_F,out_val,0.0
144,STU_F_F,Zero Values,332.0
145,STU_F_F,Missing Values,9777.0
146,STU_F_F,% of Total Values,55.38749150237933
147,STU_F_F,Total Zero Missing Values,10109.0
148,STU_F_F,% Total Zero Missing Values,57.268298209834576
149,STU_F_F,c_val,215.0
150,STU_F_F,s_val,0.0
151,STU_F_F,nc_val,0.0
152,STU_F_F,out_val,0.0
153,REV_UN,Zero Values,1372.0
154,REV_UN,Missing Values,9976.0
155,REV_UN,% of Total Values,56.51484251076364
156,REV_UN,Total Zero Missing Values,11348.0
157,REV_UN,% Total Zero Missing Values,64.2873328801269
158,REV_UN,c_val,215.0
159,REV_UN,s_val,0.0
160,REV_UN,nc_val,0.0
161,REV_UN,out_val,0.0
162,TOT_C_REV,Zero Values,4.0
163,TOT_C_REV,Missing Values,9921.0
164,TOT_C_REV,% of Total Values,56.203263086335824
165,TOT_C_REV,Total Zero Missing Values,9925.0
166,TOT_C_REV,% Total Zero Missing Values,56.22592340811239
167,TOT_C_REV,c_val,215.0
168,TOT_C_REV,s_val,0.0
