x,y,institution_name,ETER_ID,reference_year,country_code,missing_perc,cons_perc
19355.333486326694,2988.6812821786593,Université Nice - Sophia-Antipolis,FR0001,2017,FR,0.6,0.2
-4257.952542005253,1326.7963076007677,Université de technologie de Troyes,FR0002,2017,FR,0.5,0.2
-7163.881058600235,1122.279285567851,École de l'air,FR0003,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Marseille,FR0004,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École supérieure d'art et de design Marseille-Mediterranée,FR0005,2017,FR,0.6,0.0
-6127.117539815062,1195.2459074938417,École centrale de Marseille,FR0006,2017,FR,0.5,0.2
51374.37912080763,5242.157176064394,Aix-Marseille université,FR0007,2017,FR,0.6,0.2
18525.922671297765,2930.307984637958,Université de Caen Basse-Normandie,FR0008,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École supérieure d'arts et médias de Caen - Cherbourg,FR0009,2017,FR,0.6,0.0
-6461.075019423748,1171.7422360080639,École nationale supérieure d'ingénieurs de Caen,FR0010,2017,FR,0.4,0.2
-7163.881058600235,1122.2792855678456,École supérieure d'ingénieurs des travaux de la construction de Caen,FR0011,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École européenne supérieure de l'image,FR0012,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École d'ingénieurs en génie des systèmes industriels,FR0013,2017,FR,0.5,0.2
562.0009323469726,1666.0209393432963,Université de La Rochelle,FR0014,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'art de Bourges,FR0015,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale supérieure d'art de Dijon,FR0017,2017,FR,0.6,0.0
19624.493246010516,3007.6245397941566,Université de Bourgogne,FR0018,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École nationale des greffes,FR0019,2017,FR,0.8,0.0
-6595.654899266052,1162.2706072003627,"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement",FR0020,2017,FR,0.4,0.2
-6322.507587586114,1181.4945056693268,École nationale supérieure de mécanique et des microtechniques,FR0021,2017,FR,0.4,0.2
12166.774126749096,2482.755983420719,Université de Franche-Comté,FR0022,2017,FR,0.6,0.2
-6502.944315374687,1168.795507045668,École nationale d'ingénieurs de Brest,FR0023,2017,FR,0.4,0.2
-7163.881058600235,1122.2792855678456,École Navale,FR0024,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure de techniques avancées Bretagne,FR0025,2017,FR,0.6,0.2
11505.837383523549,2436.2397619428966,Université de Bretagne Occidentale,FR0026,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut supérieur de l'électronique et du numérique Brest,FR0028,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École des mines d'Alès,FR0029,2017,FR,0.5,0.2
-3110.5344553497384,1407.5507132131336,Université de Nîmes,FR0030,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Institut supérieur des Arts de Toulouse,FR0031,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Toulouse,FR0032,2017,FR,0.6,0.0
-4423.435949811348,1315.1497121780023,Institut national des sciences appliquées de Toulouse,FR0033,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École d'ingénieurs de Purpan,FR0034,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Institut catholique de Toulouse,FR0035,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École nationale de l'aviation civile,FR0036,2017,FR,0.6,0.2
-3954.8985903603557,1348.1250124714807,Institut national polytechnique de Toulouse,FR0037,2017,FR,0.5,0.2
12774.875806036553,2525.553713588851,Université Toulouse 1 - Capitole,FR0038,2017,FR,0.6,0.2
17326.666408702993,2845.9052479293296,Université Toulouse - Jean Jaurès,FR0039,2017,FR,0.5,0.2
20644.309668815546,3079.3984380925167,Université de Toulouse 3 - Paul Sabatier,FR0040,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut supérieur de l'aéronautique et de l'espace,FR0041,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture et de paysage de Bordeaux,FR0042,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine,FR0043,2017,FR,0.5,0.2
6681.896357175992,2096.7344893468435,Université Bordeaux Montaigne,FR0046,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École des beaux-arts de Bordeaux,FR0047,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale de la magistrature,FR0048,2017,FR,0.6,0.0
-4705.555253480775,1295.2943717885244,Institut polytechnique de Bordeaux,FR0050,2017,FR,0.5,0.2
-6773.100963058131,1149.7820892168743,École nationale supérieure de chimie de Montpellier,FR0051,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d’architecture de Montpellier,FR0052,2017,FR,0.6,0.0
10988.452512129794,2399.826611193289,Université Montpellier 3 - Paul-Valéry,FR0055,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Institut national d'études supérieures agronomiques de Montpellier,FR0056,2017,FR,0.5,0.2
-6720.26589912004,1153.500580526565,École nationale supérieure de chimie de Rennes,FR0057,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Bretagne,FR0058,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École régionale des beaux-arts de Rennes,FR0059,2017,FR,0.6,0.0
-6765.125859067475,1150.3433709239978,École des hautes études en santé publique,FR0060,2017,FR,0.4,0.2
-5345.557348730853,1250.2515147919003,Institut national des sciences appliquées de Rennes,FR0061,2017,FR,0.5,0.2
18101.24838379538,2900.4197337336554,Université de Rennes 1,FR0062,2017,FR,0.6,0.2
12372.133054508467,2497.208987379137,Université Rennes 2,FR0063,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,ECAM Rennes Louis de Broglie,FR0064,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Institut catholique de Rennes,FR0065,2017,FR,0.8,0.0
-7163.881058600235,1122.2792855678456,École des métiers de l'environnement,FR0066,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École des Avocats du Grand Ouest,FR0067,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale de la statistique et de l'analyse de l'information,FR0068,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,"Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage",FR0069,2017,FR,0.6,0.2
16938.876977157382,2818.612924920471,Université de Tours,FR0070,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Grenoble,FR0071,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École supérieure d'art de Grenoble,FR0072,2017,FR,0.6,0.0
-2048.8487365937676,1482.2713404738895,Grenoble INP,FR0076,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Communauté Université Grenoble-Alpes ,FR0077,2017,FR,0.4,0.2
-7163.881058600235,1122.2792855678456,École supérieure d'art et design Saint-Étienne,FR0079,2017,FR,0.6,0.0
-6222.818787702923,1188.5105270083648,École nationale d'ingénieurs de Saint-Étienne,FR0080,2017,FR,0.4,0.2
-7163.881058600235,1122.2792855678456,Telecom Saint-Étienne,FR0081,2017,FR,0.6,0.2
10652.501256523445,2376.1826192807307,Université Jean Monnet,FR0082,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Saint-Étienne,FR0083,2017,FR,0.6,0.0
-5084.372693036897,1268.6334907001801,Ecole centrale de Nantes,FR0084,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Nantes,FR0085,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École supérieure des beaux-arts de Nantes Métropole,FR0086,2017,FR,0.6,0.0
26682.460277740352,3504.358850598053,Université de Nantes,FR0087,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut régional d'administration de Nantes,FR0088,2017,FR,0.8,0.0
-7163.881058600235,1122.2792855678456,École supérieure du bois,FR0091,2017,FR,0.5,0.2
7764.5167239074335,2172.928481088797,Université d'Orléans,FR0092,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École supérieure d'art et de design d'Orléans,FR0093,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale d'administration pénitentiaire,FR0094,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École régionale des beaux-arts d'Angers,FR0095,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École supérieure d'agriculture d'Angers,FR0096,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École supérieure d'électronique de l'Ouest,FR0097,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Université catholique de l'Ouest,FR0098,2017,FR,0.7,0.2
14292.139340258702,2632.3375583690113,Université d'Angers,FR0099,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École supérieure angevine en informatique et productique,FR0100,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École supérieure d'art et de design de Reims,FR0101,2017,FR,0.6,0.0
14126.65593245261,2620.6909629462084,Université de Reims Champagne-Ardenne,FR0102,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Nancy,FR0103,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale supérieure d'art de Nancy,FR0104,2017,FR,0.6,0.0
47777.60722102213,4989.0191261519,Université de Lorraine,FR0105,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École spéciale militaire de Saint-Cyr,FR0106,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École militaire interarmes,FR0107,2017,FR,0.6,0.0
661.6897322301625,1673.0369606823344,Université de Bretagne-Sud,FR0108,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut régional d'administration de Metz,FR0110,2017,FR,0.8,0.0
-7163.881058600235,1122.2792855678456,École supérieure d'ingénieurs des travaux de la construction de Metz,FR0111,2017,FR,0.5,0.2
-6814.97025900907,1146.8353602544787,École nationale supérieure de chimie de Lille,FR0112,2017,FR,0.4,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture et de paysage de Lille,FR0113,2017,FR,0.6,0.0
-6810.9827070137435,1147.1160011080403,École nationale supérieure des arts et industries textiles,FR0114,2017,FR,0.4,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure des mines de Douai,FR0116,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Groupe Institut supérieur d'agriculture de Lille,FR0117,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut catholique de Lille,FR0118,2017,FR,0.7,0.2
-7163.881058600235,1122.2792855678456,Institut supérieur de l'électronique et du numérique Lille,FR0119,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Hautes études d'ingénieur,FR0120,2017,FR,0.5,0.2
-5610.729556420139,1231.5888980300585,École centrale de Lille,FR0121,2017,FR,0.5,0.2
3883.6317444548563,1899.7947703600455,Université de Valenciennes et du Hainaut-Cambrésis,FR0122,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut régional d'administration de Lille,FR0126,2017,FR,0.8,0.0
968.731235870387,1694.6463064065717,Université du Littoral Côte d'Opale,FR0127,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,IXAD École des avocats de la région Nord-Ouest,FR0128,2017,FR,0.6,0.0
-3156.3913032960054,1404.3233433971761,Université de technologie de Compiègne,FR0130,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École supérieure de chimie organique et minérale,FR0131,2017,FR,0.5,0.2
3562.6338088309844,1877.2031816483423,Université d'Artois,FR0132,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,Ecole nationale des finances publiques,FR0134,2017,FR,0.8,0.0
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Clermont-Ferrand,FR0136,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,VetAgro Sup Lempdes,FR0138,2017,FR,0.5,0.2
3662.3226087141747,1884.2192029873806,Université de Pau et des Pays de l'Adour,FR0140,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École supérieure d’art des Pyrénées — Pau Tarbes,FR0141,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École supérieure des technologies industrielles avancées,FR0142,2017,FR,0.5,0.2
-6020.450523940048,1202.7530503266123,École nationale d'ingénieurs de Tarbes,FR0143,2017,FR,0.4,0.2
689.6025961974555,1675.0014466572652,Université de Perpignan - Via Domitia,FR0144,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Strasbourg,FR0145,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École supérieure des arts décoratifs de Strasbourg,FR0146,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale du génie de l'eau et de l'environnement de Strasbourg,FR0147,2017,FR,0.6,0.2
-5155.151740953961,1263.652115549463,Institut national des sciences appliquées de Strasbourg,FR0148,2017,FR,0.4,0.2
37094.95542553953,4237.1822794605805,Université de Strasbourg,FR0149,2017,FR,0.6,0.2
1831.0393548599786,1755.3348909892513,Université de Haute-Alsace,FR0150,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École nationale supérieure d'architecture de Lyon,FR0151,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,École nationale supérieure des beaux-arts de Lyon,FR0152,2017,FR,0.6,0.0
-5473.159012581336,1241.2710074779313,École centrale de Lyon,FR0153,2017,FR,0.5,0.2
-1610.2180171077327,1513.1418343656565,Institut national des sciences appliquées de Lyon,FR0154,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École catholique d'arts et métiers,FR0155,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Université catholique de Lyon,FR0156,2017,FR,0.7,0.2
27295.546397021968,3547.5073818331366,Université Claude Bernard - Lyon 1,FR0157,2017,FR,0.6,0.2
19225.738046477756,2979.560454438005,Université Lumière - Lyon 2,FR0158,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Institut régional d'administration de Lyon,FR0159,2017,FR,0.8,0.0
-7163.881058600235,1122.2792855678456,Institut supérieur d'agriculture et d'agroalimentaire Rhône-Alpes,FR0160,2017,FR,0.6,0.2
18975.519158770952,2961.9502408770195,Université Jean Moulin - Lyon 3,FR0161,2017,FR,0.5,0.2
-6936.590594866562,1138.2758142208522,École nationale supérieure des sciences de l'information et des bibliothèques,FR0162,2017,FR,0.4,0.2
-7163.881058600235,1122.2792855678456,École nationale des travaux publics de l'État,FR0163,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,Conservatoire national supérieur musique et danse de Lyon,FR0164,2017,FR,0.6,0.0
-7163.881058600235,1122.2792855678456,Institut textile et chimique,FR0165,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École supérieure chimie physique électronique de Lyon,FR0166,2017,FR,0.5,0.2
-7163.881058600235,1122.2792855678456,École des avocats Rhône-Alpes,FR0167,2017,FR,0.6,0.0
-5648.611300375751,1228.9228099212241,École normale supérieure de Lyon,FR0168,2017,FR,0.5,0.2
1841.0082348482972,1756.0364931231552,Le Mans Université,FR0169,2017,FR,0.6,0.2
5694.977238332413,2027.2758780903669,Université de Savoie Mont Blanc,FR0170,2017,FR,0.6,0.2
-7163.881058600235,1122.2792855678456,École d'ingénieur de la ville de Paris,FR0171,2017,FR,0.6,0.2
