country_code,reference_year,total_current_expenditure(PPP),total_current_revenues(PPP),total_academic_staff(FTE),total_staff_(FTE),total_students_enrolled_ISCED_5-7,total_graduates_ISCED_5-7,total_students_enrolled_at_ISCED_8,total_graduates_at_ISCED_8,erasmus_total_incoming_students,erasmus_total_outgoing_students,total_core_budget(PPP),student_fees_funding(PPP),total_third_party_funding(PPP),share_of_women_academic_staff,share_of_women_students_ISCED_5-7,PhD_intensity,share_of_foreigners_students_ISCED_5-7
AL,2011,0.0,0.0,0.0,0.0,3828.5945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084310514783783,0.0,0.0
AL,2012,0.0,0.0,0.0,0.0,4022.9189189189187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41586365450270274,0.0,0.0
AL,2013,0.0,0.0,0.0,0.0,4303.263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42800658849999995,0.0,0.0
AL,2014,0.0,0.0,0.0,0.0,4303.263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42160368725526326,0.0,0.0
AL,2015,0.0,0.0,0.0,0.0,3588.825,0.0,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41439686626750005,0.0,0.0
AL,2016,0.0,0.0,0.0,0.0,3447.55,0.0,42.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1499845323655,0.0,0.0
AT,2011,43800561.07441178,46431805.19779412,433.6069647058825,632.2910955882353,4611.249114376471,733.6784313699999,382.1457782694118,35.26960784264706,70.54411764705883,82.04411764705883,34738740.46425,769701.9615705883,6908072.958214707,0.39920723366588223,0.5741679786775,0.03389651485785294,0.22058847457033814
AT,2012,45994235.03529412,48260728.977352925,436.40874558823526,637.0034485294117,4747.229374883826,797.0305306308824,374.4517709019118,32.72122762205883,73.04411764705883,83.61764705882354,36579695.19489706,505187.8314626471,7929388.909319119,0.40968541328676467,0.5769068451569117,0.03128838200602941,0.22860507639326472
AT,2013,46891062.37485293,50612884.829705894,439.9622676470589,643.3509073529411,4814.822986574999,765.6432709622059,361.41789759720587,32.453765597058826,74.67647058823529,84.88235294117646,38457280.595191166,840667.4802455882,7659773.112060295,0.4153927694338234,0.5752820220192647,0.026915484123823524,0.2334292176859411
AT,2014,47412863.696666665,50911419.09289854,442.27422499999994,668.8523163043479,4823.52400571638,784.8384230700002,348.6412886776812,31.718196457971015,90.5072463768116,107.69565217391305,38247943.19410145,902613.7984942028,7923134.4906840585,0.4136375000739131,0.5762737925415942,0.028780473673478267,0.23519131088246378
AT,2015,50465111.37072463,53776322.36724639,457.1174855072464,667.3391637681159,4911.5384519942045,814.0771513772463,340.6939275960869,32.44735118304347,97.40579710144928,115.43478260869566,40224152.34550726,943344.2013362319,8812199.72674348,0.42064529426521735,0.5754073039049274,0.030360257017652173,0.24194966741507248
AT,2016,49864460.975072466,53558078.72884059,460.5007550724638,674.2053144927537,4925.482833798552,811.9354727362318,331.3753149491304,38.07729468550725,99.6231884057971,121.55072463768116,40379109.7963768,901830.0127913045,8873516.21135942,0.424602139726087,0.5650903084685507,0.03236929214856522,0.2509783884144927
BE,2011,31109027.954115946,34233658.39311595,314.93239275362316,448.72542028985515,3174.1159420289855,818.4347826086956,144.82608695652175,24.17391304347826,86.3768115942029,95.95652173913044,17280837.00489421,14601028.60726087,934217.5098391302,0.18453080519710147,0.21404780720507252,0.00577877278,0.02519100549289855
