country_code,reference_year,total_current_revenues(PPP),total_academic_staff(FTE),total_staff_(FTE),total_students_enrolled_ISCED_5-7,total_graduates_ISCED_5-7,total_students_enrolled_at_ISCED_8,total_graduates_at_ISCED_8,erasmus_total_incoming_students,erasmus_total_outgoing_students,total_core_budget(PPP),student_fees_funding(PPP),total_third_party_funding(PPP),share_of_women_students_ISCED_5-7
AL,2011,0.0,0.0,0.0,3828.5945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4084310514783783
AL,2012,0.0,0.0,0.0,4022.9189189189187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41586365450270274
AL,2013,0.0,0.0,0.0,4303.263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42800658849999995
AL,2014,0.0,0.0,0.0,4303.263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42160368725526326
AL,2015,0.0,0.0,0.0,3588.825,0.0,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.41439686626750005
AL,2016,0.0,0.0,0.0,3447.55,0.0,42.275,0.0,0.0,0.0,0.0,0.0,0.0,0.1499845323655
AT,2011,46431805.19779412,433.6069647058825,632.2910955882353,4611.249114376471,733.6784313699999,382.1457782694118,35.26960784264706,70.54411764705883,82.04411764705883,34738740.46425,769701.9615705883,6908072.958214707,0.5741679786775
AT,2012,48260728.977352925,436.40874558823526,637.0034485294117,4747.229374883826,797.0305306308824,374.4517709019118,32.72122762205883,73.04411764705883,83.61764705882354,36579695.19489706,505187.8314626471,7929388.909319119,0.5769068451569117
AT,2013,50612884.829705894,439.9622676470589,643.3509073529411,4814.822986574999,765.6432709622059,361.41789759720587,32.453765597058826,74.67647058823529,84.88235294117646,38457280.595191166,840667.4802455882,7659773.112060295,0.5752820220192647
AT,2014,50911419.09289854,442.27422499999994,668.8523163043479,4823.52400571638,784.8384230700002,348.6412886776812,31.718196457971015,90.5072463768116,107.69565217391305,38247943.19410145,902613.7984942028,7923134.4906840585,0.5762737925415942
AT,2015,53776322.36724639,457.1174855072464,667.3391637681159,4911.5384519942045,814.0771513772463,340.6939275960869,32.44735118304347,97.40579710144928,115.43478260869566,40224152.34550726,943344.2013362319,8812199.72674348,0.5754073039049274
