institution_name,ETER_ID,reference_year,country_code,missing_perc,zero_value,c_value,s_value,nc_value,cons_perc,timeillnes_occ
Université Nice - Sophia-Antipolis,FR0001,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Université de technologie de Troyes,FR0002,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École de l'air,FR0003,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Marseille,FR0004,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École supérieure d'art et de design Marseille-Mediterranée,FR0005,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École centrale de Marseille,FR0006,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Aix-Marseille université,FR0007,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Université de Caen Basse-Normandie,FR0008,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École supérieure d'arts et médias de Caen - Cherbourg,FR0009,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure d'ingénieurs de Caen,FR0010,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
École supérieure d'ingénieurs des travaux de la construction de Caen,FR0011,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École européenne supérieure de l'image,FR0012,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École d'ingénieurs en génie des systèmes industriels,FR0013,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université de La Rochelle,FR0014,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'art de Bourges,FR0015,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure d'art de Dijon,FR0017,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Université de Bourgogne,FR0018,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École nationale des greffes,FR0019,2017,FR,0.8,0.0,0.0,0.0,0.0,0.0,7.0
Institut national supérieur des sciences agronomiques. de l'alimentation et de l'environnement,FR0020,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure de mécanique et des microtechniques,FR0021,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
Université de Franche-Comté,FR0022,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École nationale d'ingénieurs de Brest,FR0023,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
École Navale,FR0024,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure de techniques avancées Bretagne,FR0025,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Université de Bretagne Occidentale,FR0026,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Institut supérieur de l'électronique et du numérique Brest,FR0028,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École des mines d'Alès,FR0029,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université de Nîmes,FR0030,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Institut supérieur des Arts de Toulouse,FR0031,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure d'architecture de Toulouse,FR0032,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Institut national des sciences appliquées de Toulouse,FR0033,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École d'ingénieurs de Purpan,FR0034,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Institut catholique de Toulouse,FR0035,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
École nationale de l'aviation civile,FR0036,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Institut national polytechnique de Toulouse,FR0037,2017,FR,0.5,0.0,0.0,1.0,0.0,0.2,7.0
Université Toulouse 1 - Capitole,FR0038,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Université Toulouse - Jean Jaurès,FR0039,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Université de Toulouse 3 - Paul Sabatier,FR0040,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Institut supérieur de l'aéronautique et de l'espace,FR0041,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture et de paysage de Bordeaux,FR0042,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine,FR0043,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université Bordeaux Montaigne,FR0046,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
École des beaux-arts de Bordeaux,FR0047,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale de la magistrature,FR0048,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Institut polytechnique de Bordeaux,FR0050,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure de chimie de Montpellier,FR0051,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d’architecture de Montpellier,FR0052,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Université Montpellier 3 - Paul-Valéry,FR0055,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Institut national d'études supérieures agronomiques de Montpellier,FR0056,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure de chimie de Rennes,FR0057,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Bretagne,FR0058,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
